CountyNumber,County
1,ADAIR
2,ADAMS
3,ALLAMAKEE
4,APPANOOSE
5,AUDUBON
6,BENTON
7,BLACK HAWK
8,BOONE
9,BREMER
10,BUCHANAN
11,BUENA VISTA
12,BUTLER
13,CALHOUN
14,CARROLL
15,CASS
16,CEDAR
17,CERRO GORDO
18,CHEROKEE
19,CHICKASAW
20,CLARKE
21,CLAY
22,CLAYTON
23,CLINTON
24,CRAWFORD
25,DALLAS
26,DAVIS
27,DECATUR
28,DELAWARE
29,DES MOINES
30,DICKINSON
31,DUBUQUE
32,EMMET
33,FAYETTE
34,FLOYD
35,FRANKLIN
36,FREMONT
37,GREENE
38,GRUNDY
39,GUTHRIE
40,HAMILTON
41,HANCOCK
42,HARDIN
43,HARRISON
44,HENRY
45,HOWARD
46,HUMBOLDT
47,IDA
48,IOWA
49,JACKSON
50,JASPER
51,JEFFERSON
52,JOHNSON
53,JONES
54,KEOKUK
55,KOSSUTH
56,LEE
57,LINN
58,LOUISA
59,LUCAS
60,LYON
61,MADISON
62,MAHASKA
63,MARION
64,MARSHALL
65,MILLS
66,MITCHELL
67,MONONA
68,MONROE
69,MONTGOMERY
70,MUSCATINE
71,O'BRIEN
72,OSCEOLA
73,PAGE
74,PALO ALTO
75,PLYMOUTH
76,POCAHONTAS
77,POLK
78,POTTAWATTAMIE
79,POWESHIEK
80,RINGGOLD
81,SAC
82,SCOTT
83,SHELBY
84,SIOUX
85,STORY
86,TAMA
87,TAYLOR
88,UNION
89,VAN BUREN
90,WAPELLO
91,WARREN
92,WASHINGTON
93,WAYNE
94,WEBSTER
95,WINNEBAGO
96,WINNESHIEK
97,WOODBURY
98,WORTH
99,WRIGHT
